	userId	Reputation	Views	UpVotes	DownVotes	postId	Score	ViewCount	CommentCount	Outlier
123	5	6792	1145	662	5	6	152	29229	5	Reputation
131	5	6792	1145	662	5	103	28	1990	6	Reputation
133	5	6792	1145	662	5	125	75	29261	2	Reputation
145	5	6792	1145	662	5	423	156	64481	7	Reputation
150	5	6792	1145	662	5	562	10	1005	1	Reputation
160	5	6792	1145	662	5	898	5	725	1	Reputation
177	5	6792	1145	662	5	1826	26	2762	1	Reputation
182	5	6792	1145	662	5	1904	11	493	0	Reputation
183	5	6792	1145	662	5	1906	7	455	3	Reputation
185	5	6792	1145	662	5	1908	5	351	0	Reputation
187	5	6792	1145	662	5	1912	3	286	7	Reputation
190	5	6792	1145	662	5	2072	13	520	2	Reputation
191	5	6792	1145	662	5	2077	21	9878	0	Reputation
194	5	6792	1145	662	5	2149	22	4469	0	Reputation
196	5	6792	1145	662	5	2167	11	709	3	Reputation
198	5	6792	1145	662	5	2213	15	3182	2	Reputation
201	5	6792	1145	662	5	2245	24	1475	2	Reputation
254	8	6764	1089	604	25	1	23	1278	1	Reputation
256	8	6764	1089	604	25	36	41	67396	7	Reputation
260	8	6764	1089	604	25	114	30	1220	1	Reputation
263	8	6764	1089	604	25	168	17	1022	1	Reputation
264	8	6764	1089	604	25	170	56	7733	1	Reputation
284	8	6764	1089	604	25	1173	13	1765	5	Reputation
295	8	6764	1089	604	25	1529	8	498	2	Reputation
313	8	6764	1089	604	25	2348	15	795	4	Reputation
331	8	6764	1089	604	25	3460	29	1068	0	Reputation
333	8	6764	1089	604	25	3532	12	422	0	Reputation
336	8	6764	1089	604	25	3814	73	4526	2	Reputation
345	8	6764	1089	604	25	5184	12	1575	3	Reputation
439	25	4968	641	328	23	109	2	3980	2	Reputation
458	25	4968	641	328	23	1844	13	3142	7	Reputation
471	25	4968	641	328	23	12002	14	3883	6	Reputation
475	25	4968	641	328	23	15350	5	842	0	Reputation
481	25	4968	641	328	23	17378	3	3028	0	Reputation
486	25	4968	641	328	23	29158	10	2305	14	Reputation
492	25	4968	641	328	23	31591	21	1131	11	Reputation
496	25	4968	641	328	23	35433	2	355	1	Reputation
514	26	3150	257	138	7	7358	16	4065	1	Reputation
524	26	3150	257	138	7	8570	8	365	0	Reputation
529	26	3150	257	138	7	10006	5	353	2	Reputation
535	26	3150	257	138	7	10421	2	52	0	Reputation
548	26	3150	257	138	7	11300	2	50	5	Reputation
570	29	2250	318	28	1	4114	8	404	2	Reputation
583	30	2185	312	40	3	841	14	1016	2	Reputation
586	30	2185	312	40	3	2772	15	1544	5	Reputation
589	30	2185	312	40	3	3898	6	597	0	Reputation
591	30	2185	312	40	3	4267	11	1166	1	Reputation
593	30	2185	312	40	3	4286	3	284	0	Reputation
