,id,year,month,element,day,value
20,MX17004,2010,12,tmax,d1,29.9
21,MX17004,2010,12,tmin,d1,13.8
24,MX17004,2010,2,tmax,d2,27.3
25,MX17004,2010,2,tmin,d2,14.4
40,MX17004,2010,11,tmax,d2,31.3
41,MX17004,2010,11,tmin,d2,16.3
46,MX17004,2010,2,tmax,d3,24.1
47,MX17004,2010,2,tmin,d3,14.4
56,MX17004,2010,7,tmax,d3,28.6
57,MX17004,2010,7,tmin,d3,17.5
84,MX17004,2010,11,tmax,d4,27.2
85,MX17004,2010,11,tmin,d4,12.0
92,MX17004,2010,3,tmax,d5,32.1
93,MX17004,2010,3,tmin,d5,14.2
102,MX17004,2010,8,tmax,d5,29.6
103,MX17004,2010,8,tmin,d5,15.8
104,MX17004,2010,10,tmax,d5,27.0
105,MX17004,2010,10,tmin,d5,14.0
106,MX17004,2010,11,tmax,d5,26.3
107,MX17004,2010,11,tmin,d5,7.9
130,MX17004,2010,12,tmax,d6,27.8
131,MX17004,2010,12,tmin,d6,10.5
148,MX17004,2010,10,tmax,d7,28.1
149,MX17004,2010,10,tmin,d7,12.9
168,MX17004,2010,8,tmax,d8,29.0
169,MX17004,2010,8,tmin,d8,17.3
202,MX17004,2010,3,tmax,d10,34.5
203,MX17004,2010,3,tmin,d10,16.8
222,MX17004,2010,2,tmax,d11,29.7
223,MX17004,2010,2,tmin,d11,13.4
278,MX17004,2010,8,tmax,d13,29.8
279,MX17004,2010,8,tmin,d13,16.5
298,MX17004,2010,7,tmax,d14,29.9
299,MX17004,2010,7,tmin,d14,16.5
302,MX17004,2010,10,tmax,d14,29.5
303,MX17004,2010,10,tmin,d14,13.0
324,MX17004,2010,10,tmax,d15,28.7
325,MX17004,2010,10,tmin,d15,10.5
334,MX17004,2010,3,tmax,d16,31.1
335,MX17004,2010,3,tmin,d16,17.6
362,MX17004,2010,6,tmax,d17,28.0
363,MX17004,2010,6,tmin,d17,17.5
486,MX17004,2010,2,tmax,d23,29.9
487,MX17004,2010,2,tmin,d23,10.7
498,MX17004,2010,8,tmax,d23,26.4
499,MX17004,2010,8,tmin,d23,15.0
542,MX17004,2010,8,tmax,d25,29.7
543,MX17004,2010,8,tmin,d25,15.6
568,MX17004,2010,11,tmax,d26,28.1
569,MX17004,2010,11,tmin,d26,12.1
578,MX17004,2010,4,tmax,d27,36.3
579,MX17004,2010,4,tmin,d27,16.7
580,MX17004,2010,5,tmax,d27,33.2
581,MX17004,2010,5,tmin,d27,18.2
590,MX17004,2010,11,tmax,d27,27.7
591,MX17004,2010,11,tmin,d27,14.2
610,MX17004,2010,10,tmax,d28,31.2
611,MX17004,2010,10,tmin,d28,15.0
626,MX17004,2010,6,tmax,d29,30.1
627,MX17004,2010,6,tmin,d29,18.0
630,MX17004,2010,8,tmax,d29,28.0
631,MX17004,2010,8,tmin,d29,15.3
638,MX17004,2010,1,tmax,d30,27.8
639,MX17004,2010,1,tmin,d30,14.5
674,MX17004,2010,8,tmax,d31,25.4
675,MX17004,2010,8,tmin,d31,15.4
